"id","english","vietnamese","note","module","boi_canh","vi_du"
"829","Smart Grid","Lưới điện thông minh","Hệ thống điện tích hợp cảm biến, IoT và công nghệ thông tin để quản lý điện năng hiệu quả","IOT","","Lưới điện thông minh tự động điều chỉnh nguồn điện khi nhu cầu tiêu thụ tăng cao."
"830","Smart Factory","Nhà máy thông minh","Mô hình nhà máy ứng dụng IoT, AI và dữ liệu lớn để tự động hóa và tối ưu hóa sản xuất","IOT","","Nhà máy thông minh sử dụng cảm biến để tự động bảo trì máy móc trước khi hỏng hóc."
"831","Smart Manufacturing","Sản xuất thông minh","Phương pháp sản xuất sử dụng công nghệ số, phân tích dữ liệu và hệ thống tự động hóa để tăng hiệu suất","IOT","","Doanh nghiệp áp dụng sản xuất thông minh để giảm 20% thời gian chu kỳ sản xuất."
"832","Digital Twin","Bản sao số","Mô hình kỹ thuật số phản ánh chính xác trạng thái và hành vi của đối tượng hoặc quy trình thực tế","IOT","","Bản sao số mô phỏng hoạt động của turbine gió để tối ưu hóa hiệu suất bảo trì."
"833","Wearable Technology","Công nghệ đeo được","Thiết bị điện tử có thể đeo trên người để thu thập dữ liệu hoặc hỗ trợ tương tác số","IOT","","Đồng hồ thông minh theo dõi nhịp tim và gửi cảnh báo sức khỏe cho người dùng."
"834","Connected Vehicle","Phương tiện kết nối","Xe có khả năng giao tiếp với hệ thống khác qua mạng không dây, bao gồm xe khác và hạ tầng giao thông","IOT","","Xe ô tô kết nối tự động cập nhật tình trạng giao thông và điều chỉnh tuyến đường."
"835","Home Automation (Domotics)","Tự động hóa ngôi nhà","Ứng dụng IoT để điều khiển và giám sát các thiết bị trong gia đình như đèn, khóa, điều hòa,...","IOT","","Hệ thống domotics cho phép người dùng tắt đèn qua điện thoại dù đang ở xa."
"836","Beacon","Thiết bị phát tín hiệu định vị","Thiết bị nhỏ phát tín hiệu Bluetooth để định vị hoặc gửi thông tin đến các thiết bị gần đó","IOT","","Cửa hàng dùng beacon để gửi thông báo khuyến mãi đến điện thoại khách hàng."
"837","Telemetry","Viễn trắc","Quá trình thu thập và truyền dữ liệu từ thiết bị ở xa về trung tâm để giám sát","IOT","","Vệ tinh gửi dữ liệu viễn trắc về nhiệt độ và trạng thái pin về trạm điều khiển mặt đất."
"838","Asset","Tài sản (công nghiệp hoặc kỹ thuật số)","Bất kỳ thiết bị, hệ thống hoặc thành phần nào có giá trị trong mạng OT/IoT","IOT","","PLC, cảm biến và router công nghiệp đều được xem là tài sản cần bảo vệ."
"839","Device Provisioning","Cấu hình khởi tạo thiết bị","Quá trình đăng ký, xác thực và cấu hình ban đầu cho thiết bị IoT trước khi hoạt động","IOT","","Khi thêm cảm biến mới vào hệ thống, kỹ sư thực hiện cấu hình khởi tạo để gán danh tính và chứng chỉ bảo mật."
"840","Device Management","Quản lý thiết bị","Quy trình giám sát, cấu hình, cập nhật và bảo mật các thiết bị IoT trong hệ thống","IOT","","Nền tảng IoT sử dụng tính năng quản lý thiết bị để theo dõi tình trạng hoạt động và cập nhật firmware từ xa."
"841","Temperature Sensor","Cảm biến nhiệt độ","Thiết bị đo và giám sát nhiệt độ trong môi trường hoặc thiết bị công nghiệp","IOT","","Cảm biến nhiệt độ giám sát nhiệt của lò nung để đảm bảo an toàn vận hành."
"842","Thermistor","Điện trở nhiệt","Linh kiện điện có giá trị điện trở thay đổi theo nhiệt độ, được dùng để đo hoặc kiểm soát nhiệt","IOT","","Thermistor trong điều hòa không khí giúp tự động điều chỉnh công suất làm mát."
"843","Thermocouple","Cặp nhiệt điện","Cảm biến nhiệt gồm hai kim loại khác nhau tạo điện áp tỉ lệ với nhiệt độ chênh lệch","IOT","","Cặp nhiệt điện được dùng trong lò luyện kim để đo nhiệt độ lên đến hàng ngàn độ C."
"844","Resistor Temperature Detector (RTD)","Cảm biến nhiệt điện trở (RTD)","Thiết bị đo nhiệt dựa trên sự thay đổi điện trở của kim loại, thường là platinum","IOT","","RTD đo chính xác nhiệt độ trong quy trình sản xuất thực phẩm."
"845","Proximity Sensor","Cảm biến tiệm cận","Cảm biến phát hiện vật thể ở gần mà không cần tiếp xúc vật lý","IOT","","Cảm biến tiệm cận trong robot giúp phát hiện vật cản khi di chuyển."
"846","Photoelectric Sensor","Cảm biến quang điện","Thiết bị phát hiện vật thể, khoảng cách hoặc thay đổi bề mặt thông qua tia sáng hoặc tia hồng ngoại","IOT","","Cảm biến quang điện phát hiện sản phẩm đi qua băng chuyền trong nhà máy."
"847","Magnetic Sensor","Cảm biến từ tính","Cảm biến phát hiện trường từ hoặc sự thay đổi của từ trường","IOT","","Cảm biến từ tính trong cửa an ninh phát hiện khi cửa bị mở trái phép."
"848","Capacitive Sensor","Cảm biến điện dung","Thiết bị phát hiện thay đổi điện dung khi vật thể tiến gần, thường dùng cho chất lỏng hoặc vật rắn phi kim","IOT","","Cảm biến điện dung đo mức dầu trong bình chứa."
"849","Inductive Sensor","Cảm biến cảm ứng","Cảm biến phát hiện vật thể kim loại bằng cách tạo ra trường điện từ","IOT","","Cảm biến cảm ứng phát hiện vị trí chi tiết kim loại trên dây chuyền lắp ráp."
"850","Ultrasonic Sensor","Cảm biến siêu âm","Thiết bị đo khoảng cách hoặc phát hiện vật thể bằng cách sử dụng sóng siêu âm phản xạ","IOT","","Robot sử dụng cảm biến siêu âm để tránh va chạm khi di chuyển."
"851","Pressure Sensor","Cảm biến áp suất","Thiết bị đo áp lực chất khí hoặc chất lỏng và chuyển đổi thành tín hiệu điện","IOT","","Cảm biến áp suất theo dõi áp lực trong đường ống dầu để tránh quá tải."
"852","Piezoresistive Sensor","Cảm biến áp điện trở","Cảm biến hoạt động dựa trên thay đổi điện trở của vật liệu khi chịu áp lực cơ học","IOT","","Cảm biến piezoresistive được dùng trong hệ thống phanh ô tô để đo lực tác động."
"853","Water Quality Sensor","Cảm biến chất lượng nước","Thiết bị đo các thông số như pH, độ đục, clo dư, và TOC để đánh giá chất lượng nước","IOT","","Cảm biến chất lượng nước giám sát nước thải trong nhà máy xử lý nước."
"854","pH Sensor","Cảm biến pH","Thiết bị đo độ axit hoặc kiềm của dung dịch","IOT","","Cảm biến pH được lắp trong hồ nuôi tôm để đảm bảo môi trường nước ổn định."
"855","Turbidity Sensor","Cảm biến độ đục","Cảm biến đo mức độ trong suốt hoặc đục của chất lỏng dựa trên ánh sáng tán xạ","IOT","","Cảm biến độ đục theo dõi chất lượng nước uống trong hệ thống xử lý nước sạch."
"856","Residual Chlorine Sensor","Cảm biến clo dư","Thiết bị đo lượng clo còn lại trong nước sau khi khử trùng, nhằm đảm bảo an toàn tiêu chuẩn","IOT","","Cảm biến clo dư kiểm tra nồng độ clo trong nước cấp sinh hoạt."
"857","Total Organic Carbon (TOC) Sensor","Cảm biến tổng lượng cacbon hữu cơ","Cảm biến đo hàm lượng chất hữu cơ trong nước, đánh giá mức độ ô nhiễm","IOT","","Cảm biến TOC được dùng trong nhà máy dược phẩm để giám sát độ tinh khiết nước."
"858","Motion Sensor","Cảm biến chuyển động","Thiết bị phát hiện chuyển động của người hoặc vật thể trong phạm vi nhất định","IOT","","Cảm biến chuyển động bật đèn tự động khi có người đi qua hành lang."
"859","Accelerometer","Cảm biến gia tốc","Thiết bị đo tốc độ thay đổi vận tốc, hướng và độ rung của vật thể","IOT","","Điện thoại dùng cảm biến gia tốc để tự động xoay màn hình theo hướng người dùng."
"860","Gyroscope","Con quay hồi chuyển","Cảm biến đo và duy trì hướng hoặc góc quay của vật thể trong không gian","IOT","","Máy bay không người lái (drone) sử dụng con quay hồi chuyển để giữ thăng bằng."
"861","Global Navigation Satellite System (GNSS)","Hệ thống định vị vệ tinh toàn cầu","Tập hợp các hệ thống định vị dựa trên vệ tinh như GPS, GLONASS, Galileo,...","IOT","","Thiết bị GNSS cung cấp vị trí chính xác cho phương tiện vận tải biển."
"862","GPS (Global Positioning System)","Hệ thống định vị toàn cầu","Hệ thống vệ tinh của Hoa Kỳ cung cấp dịch vụ định vị và thời gian toàn cầu","IOT","","GPS giúp xe tải xác định lộ trình và giám sát vị trí theo thời gian thực."
"863","Infrared (IR) Sensor","Cảm biến hồng ngoại","Thiết bị phát hiện bức xạ hồng ngoại phát ra từ vật thể để đo khoảng cách hoặc phát hiện chuyển động","IOT","","Cảm biến IR dùng trong điều khiển TV và hệ thống chống trộm."
"864","Optical Sensor","Cảm biến quang học","Cảm biến phát hiện cường độ hoặc thay đổi ánh sáng để đo hoặc nhận diện vật thể","IOT","","Cảm biến quang học trong máy in phát hiện giấy bị kẹt hoặc hết giấy."
"865","Level Sensor","Cảm biến mức","Thiết bị đo mức chất lỏng, bột hoặc hạt trong thùng chứa hoặc bể chứa","IOT","","Cảm biến mức giám sát mực nước trong bể để tránh tràn hoặc cạn."
"866","Flow Sensor","Cảm biến lưu lượng","Thiết bị đo tốc độ hoặc thể tích dòng chảy của chất lỏng hoặc khí","IOT","","Cảm biến lưu lượng đo lượng nước đi qua đường ống để kiểm soát tiêu thụ."
"867","Humidity Sensor","Cảm biến độ ẩm","Thiết bị đo độ ẩm tương đối của không khí hoặc môi trường","IOT","","Cảm biến độ ẩm được dùng trong nhà kính để tự động điều chỉnh hệ thống phun sương."
"868","Acoustic Sensor","Cảm biến âm thanh","Thiết bị phát hiện và đo dao động âm thanh hoặc sóng siêu âm trong môi trường","IOT","","Cảm biến âm thanh được sử dụng trong hệ thống giám sát tiếng ồn công nghiệp."
"869","Gas Sensor","Cảm biến khí","Thiết bị phát hiện và đo nồng độ các loại khí như CO, CO₂, CH₄, O₂,... trong môi trường","IOT","","Cảm biến khí CO₂ theo dõi chất lượng không khí trong nhà."
"870","Chemical Sensor","Cảm biến hóa học","Thiết bị phát hiện hoặc định lượng các chất hóa học cụ thể trong môi trường","IOT","","Cảm biến hóa học được sử dụng trong phòng thí nghiệm để phát hiện rò rỉ khí độc."
"871","Modbus (RTU, ASCII, TCP)","Giao thức Modbus","Giao thức truyền thông công nghiệp phổ biến cho phép thiết bị như cảm biến, PLC giao tiếp qua RS-485 hoặc TCP/IP","IOT","","Modbus TCP truyền dữ liệu từ cảm biến áp suất đến hệ thống SCADA."
"872","PROFIBUS (DP, PA)","Giao thức PROFIBUS","Chuẩn truyền thông công nghiệp dùng trong tự động hóa, gồm DP cho thiết bị tốc độ cao và PA cho thiết bị quy trình","IOT","","PROFIBUS DP kết nối PLC với bộ điều khiển động cơ."
"873","PROFINET (IO, IRT)","Giao thức PROFINET","Chuẩn truyền thông công nghiệp dựa trên Ethernet, hỗ trợ truyền dữ liệu thời gian thực","IOT","","PROFINET IRT dùng trong dây chuyền robot cần độ trễ thấp."
"874","EtherNet/IP","Giao thức EtherNet/IP","Chuẩn truyền thông công nghiệp dựa trên Ethernet, dùng cho tự động hóa và điều khiển quá trình","IOT","","EtherNet/IP kết nối PLC Allen-Bradley với HMI trong nhà máy."
"875","CIP (Common Industrial Protocol)","Giao thức công nghiệp chung (CIP)","Bộ tiêu chuẩn truyền thông chung cho các giao thức như EtherNet/IP, DeviceNet, ControlNet","IOT","","CIP cho phép các thiết bị từ nhiều hãng trao đổi dữ liệu thống nhất."
"876","DeviceNet","Giao thức DeviceNet","Mạng truyền thông công nghiệp dựa trên CAN, dùng để kết nối cảm biến và bộ truyền động với bộ điều khiển","IOT","","DeviceNet kết nối các cảm biến giới hạn và công tắc trong hệ thống băng chuyền."
"877","ControlNet","Giao thức ControlNet","Mạng truyền thông công nghiệp tốc độ cao dành cho điều khiển thời gian thực","IOT","","ControlNet đồng bộ dữ liệu giữa nhiều PLC trong dây chuyền sản xuất."
"878","HART (Highway Addressable Remote Transducer)","Giao thức HART","Chuẩn truyền thông lai giữa tín hiệu analog 4–20mA và kỹ thuật số để cấu hình và giám sát thiết bị","IOT","","HART cho phép kỹ sư giám sát cảm biến áp suất từ xa."
"879","DNP3 (Distributed Network Protocol)","Giao thức DNP3","Chuẩn truyền thông trong hệ thống điện và SCADA để trao đổi dữ liệu giữa thiết bị trường và trung tâm điều khiển","IOT","","DNP3 được dùng trong hệ thống giám sát lưới điện."
"880","IEC 61850","Chuẩn IEC 61850","Tiêu chuẩn quốc tế cho truyền thông trong trạm biến áp và hệ thống điện thông minh","IOT","","IEC 61850 cho phép thiết bị từ các nhà sản xuất khác nhau hoạt động cùng nhau trong trạm điện."
"881","IEC 60870-5 (101, 104)","Chuẩn IEC 60870-5","Giao thức truyền thông dùng trong hệ thống điện châu Âu, phiên bản 101 cho nối tiếp và 104 cho TCP/IP","IOT","","IEC 60870-5-104 truyền dữ liệu giữa trạm biến áp và trung tâm SCADA."
"882","BACnet (Building Automation and Control)","Giao thức BACnet","Chuẩn truyền thông dùng cho tự động hóa tòa nhà: HVAC, chiếu sáng, an ninh,...","IOT","","BACnet kết nối hệ thống điều hòa và chiếu sáng trong tòa nhà thông minh."
"883","SERCOS (Serial Real-time Communication System)","Hệ thống truyền thông nối tiếp thời gian thực SERCOS","Giao thức điều khiển truyền động và servo trong tự động hóa công nghiệp","IOT","","SERCOS điều khiển đồng bộ các trục trong máy CNC."
"884","CAN Bus (Controller Area Network)","Mạng CAN","Hệ thống truyền thông nối tiếp tốc độ cao, phổ biến trong ô tô và công nghiệp để trao đổi dữ liệu giữa vi điều khiển","IOT","","CAN Bus kết nối các cảm biến động cơ và ECU trong xe hơi."
"885","Optomux","Giao thức Optomux","Giao thức nối tiếp do Opto 22 phát triển để kết nối mô-đun I/O với máy tính hoặc bộ điều khiển","IOT","","Optomux được dùng trong các hệ thống điều khiển cũ của nhà máy."
"886","InterBus","Giao thức InterBus","Mạng truyền thông công nghiệp dạng vòng, được dùng để kết nối cảm biến, bộ truyền động, và PLC","IOT","","InterBus truyền dữ liệu ổn định trong hệ thống điều khiển dây chuyền."
"887","Foundation Fieldbus","Giao thức Foundation Fieldbus","Chuẩn truyền thông số cho thiết bị trường trong quy trình công nghiệp, thay thế tín hiệu analog","IOT","","Fieldbus được dùng trong nhà máy lọc dầu để điều khiển van và cảm biến thông minh."
"888","MQTT (Message Queuing Telemetry Transport)","Giao thức MQTT","Giao thức truyền thông nhẹ, tối ưu cho IoT và môi trường băng thông thấp","IOT","","MQTT truyền dữ liệu cảm biến từ thiết bị IoT về đám mây giám sát."
"889","AMQP (Advanced Message Queuing Protocol)","Giao thức AMQP","Giao thức hàng đợi tin nhắn nâng cao, dùng để trao đổi dữ liệu đáng tin cậy giữa các hệ thống","IOT","","AMQP đảm bảo truyền dữ liệu ổn định giữa các dịch vụ đám mây công nghiệp."
"890","CoAP (Constrained Application Protocol)","Giao thức ứng dụng hạn chế","Giao thức truyền thông nhẹ dành cho các thiết bị IoT có tài nguyên hạn chế, hoạt động trên UDP","IOT","","Cảm biến nhiệt độ sử dụng CoAP để gửi dữ liệu định kỳ đến máy chủ IoT Gateway."
"891","OPC-UA (Open Platform Communications Unified Architecture)","Kiến trúc truyền thông mở hợp nhất","Chuẩn truyền thông công nghiệp cho phép các thiết bị và ứng dụng khác nhau giao tiếp an toàn, độc lập với nền tảng","IOT","","Hệ thống SCADA sử dụng OPC-UA để thu thập dữ liệu từ nhiều PLC của các hãng khác nhau."
"892","DDS (Data Distribution Service)","Dịch vụ phân phối dữ liệu","Chuẩn truyền thông thời gian thực hỗ trợ trao đổi dữ liệu giữa nhiều nút trong hệ thống IoT hoặc công nghiệp","IOT","","DDS được sử dụng trong robot công nghiệp để chia sẻ dữ liệu cảm biến tốc độ cao."
"893","oBIX (Open Building Information Exchange)","Giao thức trao đổi thông tin tòa nhà mở","Chuẩn dựa trên XML dùng để tích hợp các hệ thống tự động hóa tòa nhà với ứng dụng quản lý","IOT","","oBIX kết nối hệ thống HVAC và chiếu sáng trong trung tâm thương mại thông qua mạng IP."
"894","XMPP (Extensible Messaging and Presence Protocol)","Giao thức nhắn tin và hiện diện mở rộng","Giao thức thời gian thực dựa trên XML, dùng cho trao đổi dữ liệu hoặc thông điệp giữa thiết bị IoT","IOT","","Hệ thống cảnh báo IoT dùng XMPP để gửi thông báo trạng thái cảm biến tới máy chủ trung tâm."
"895","LoRaWAN (Long Range Wide Area Network)","Mạng diện rộng tầm xa","Giao thức truyền thông không dây tầm xa, tiêu thụ năng lượng thấp, phù hợp cho cảm biến IoT ngoài trời","IOT","","Cảm biến độ ẩm trong nông nghiệp thông minh truyền dữ liệu qua mạng LoRaWAN đến máy chủ trung tâm."
"896","Sigfox","Mạng IoT công suất thấp Sigfox","Công nghệ truyền thông IoT sử dụng băng tần hẹp, tối ưu cho thiết bị gửi dữ liệu nhỏ, tần suất thấp","IOT","","Cảm biến theo dõi vị trí container sử dụng Sigfox để gửi tín hiệu định kỳ về máy chủ."
"897","NB-IoT (Narrowband-IoT)","Mạng IoT băng hẹp","Chuẩn truyền thông di động của 3GPP, thiết kế cho thiết bị IoT tiêu thụ năng lượng thấp và hoạt động lâu dài","IOT","","Đồng hồ nước thông minh dùng NB-IoT để gửi dữ liệu đo đến hệ thống quản lý thành phố."
