"67","covert channel","covert channel","kênh ngầm/kênh che giấu — phương thức truyền dữ liệu ẩn để né phát hiện, ví dụ covert timing/storage.","8","Là một kênh truyền dữ liệu bí mật, ẩn mình trong các giao thức mạng hợp lệ (như DNS, ICMP) để tuồn dữ liệu ra ngoài mà không bị phát hiện.","Attacker mã hóa dữ liệu thành các truy vấn DNS gửi đến một domain họ kiểm soát, qua mặt hệ thống giám sát chỉ cho phép lưu lượng DNS."
"68","socat","socat","tiện ích dòng lệnh mạnh tương tự netcat, dùng để forward socket, tunneling, proxy.","8","Dùng khi cần các kết nối mạng phức tạp hơn Netcat, ví dụ như chuyển tiếp (relay) một kết nối qua nhiều bước hoặc tạo các tunnel mã hóa.","Attacker dùng socat để tạo một relay, chuyển tiếp lưu lượng từ một cổng trên máy A đến một cổng khác trên máy B, giúp kết nối vào một dịch vụ nằm sâu trong mạng."
"69","wsc2","WSC2","WebSocket C2 — PoC/framework dùng WebSocket làm kênh C2.","8","Dùng để thiết lập một kênh C2 khó bị phát hiện qua giao thức WebSocket, vốn thường được tường lửa cho phép vì trông giống traffic web thông thường.","Attacker cài agent WSC2 lên máy nạn nhân. Agent này sẽ tạo kết nối WebSocket ra ngoài tới C2 server, cho phép attacker gửi lệnh và nhận kết quả một cách bí mật."
"70","WMImplant","WMImplant","post-exploit tool dùng WMI/PowerShell để thực thi lệnh và làm kênh điều khiển.","8","Là một công cụ hậu khai thác trên Windows, lạm dụng WMI (Windows Management Instrumentation) để thực thi lệnh từ xa và di chuyển ngang mà không cần cài đặt thêm agent.","Attacker có quyền admin trên một máy, họ dùng WMImplant để thực thi lệnh trên các máy tính khác trong cùng mạng mà không cần phải cài backdoor."
"71","DropboxC2 (DBC2)","DropboxC2 (DBC2)","C2 sử dụng Dropbox làm kênh truyền/điều khiển để che giấu traffic.","8","Dùng để che giấu hoàn toàn lưu lượng C2 bằng cách sử dụng API của một dịch vụ đám mây hợp pháp như Dropbox làm kênh giao tiếp.","Dùng để che giấu hoàn toàn lưu lượng C2 bằng cách sử dụng API của một dịch vụ đám mây hợp pháp như Dropbox làm kênh giao tiếp."
"72","TrevorC2","TrevorC2","C2 framework — dùng website/HTTP để ẩn kênh điều khiển.","8","Dùng để ẩn kênh C2 trong các truy cập website bình thường. Agent sẽ truy cập một trang web trông có vẻ vô hại để lấy lệnh được giấu trong mã nguồn trang.","Dùng để ẩn kênh C2 trong các truy cập website bình thường. Agent sẽ truy cập một trang web trông có vẻ vô hại để lấy lệnh được giấu trong mã nguồn trang."
"73","DNSCat2","DNSCat2","tool tạo kênh C2/tunnel mã hoá qua giao thức DNS — dùng để truyền lệnh/dữ liệu qua DNS.","8","Dùng để tạo một kênh C2 được mã hóa hoàn toàn qua giao thức DNS. Kỹ thuật này cực kỳ hiệu quả để vượt qua các tường lửa nghiêm ngặt nhất vì gần như không hệ thống nào chặn DNS.","Dùng để tạo một kênh C2 được mã hóa hoàn toàn qua giao thức DNS. Kỹ thuật này cực kỳ hiệu quả để vượt qua các tường lửa nghiêm ngặt nhất vì gần như không hệ thống nào chặn DNS."
"74","WebSocket","WebSocket","giao thức kết nối hai chiều, full-duplex giữa client và server — thường bị khai thác/được dùng làm kênh C2 hoặc truyền dữ liệu bất đồng bộ trong web.","8","Giao thức này cho phép giao tiếp hai chiều liên tục giữa client và server. Trong tấn công, nó được lạm dụng để tạo kênh C2 tương tác, ổn định và khó bị phát hiện.","Một mã độc sử dụng WebSocket để duy trì kết nối liên tục với C2 server, cho phép attacker gửi lệnh và nhận kết quả gần như ngay lập tức."
"75","User Account Control (UAC)","User Account Control (UAC)","cơ chế kiểm soát nâng quyền trên Windows — mục tiêu tấn công thường tìm kỹ thuật bỏ qua/elevate UAC.","8","Là một cơ chế bảo vệ của Windows. Attacker sau khi có quyền user thường tìm cách "bypass UAC" để nâng quyền lên admin mà không làm hiện bảng thông báo xác nhận.","Attacker sử dụng kỹ thuật "UAC Bypass" để chạy một cửa sổ lệnh với quyền quản trị viên (Administrator) mà không làm hiện lên bảng thông báo của UAC."
"76","Task Scheduler","Task Scheduler","công cụ/tác vụ đã lên lịch trên Windows — adversary dùng để duy trì persistence hoặc chạy mã theo lịch.","8","Là công cụ của Windows bị attacker lạm dụng để tạo "persistence" (sự tồn tại dai dẳng) bằng cách tạo một tác vụ ẩn, tự động chạy lại mã độc mỗi khi máy tính khởi động.","Attacker dùng lệnh schtasks để tạo một tác vụ mới trong Task Scheduler, lệnh này sẽ chạy một file .exe độc hại vào lúc 12 giờ trưa mỗi ngày."
"77","Daemon","daemon","tiến trình nền chạy liên tục trên hệ thống Unix/Linux — ví dụ sshd, httpd — thường bị lợi dụng/nhắm tới.","8","Là các tiến trình chạy nền trên Linux/Unix. Attacker có thể nhắm vào lỗ hổng của daemon (ví dụ: sshd) để xâm nhập, hoặc tạo daemon độc hại để làm backdoor.","Attacker chiếm được quyền root và cấu hình một daemon mới. Dịch vụ này sẽ chạy ẩn và mở một reverse shell về máy của attacker mỗi khi hệ thống khởi động."
"78","Backdoor","backdoor","cửa hậu — phương thức/ứng dụng cho phép truy cập trái phép/ẩn để bỏ qua xác thực thông thường.","8","Là một phương pháp truy cập hệ thống "đi cửa sau", bỏ qua các bước xác thực thông thường. Nó được attacker cài đặt sau khi đã xâm nhập thành công để đảm bảo có thể quay lại bất cứ lúc nào.","Attacker sửa đổi dịch vụ đăng nhập của hệ thống, thêm vào một đoạn mã cho phép họ đăng nhập bằng một mật khẩu đặc biệt. Đoạn mã này chính là một backdoor."
"79","lateral movement","lateral movement","kỹ thuật di chuyển ngang trong mạng sau khi có initial access để tiếp cận mục tiêu giá trị.","8","Là quá trình di chuyển từ một máy đã bị chiếm quyền sang các máy tính khác trong cùng một mạng nội bộ để tiếp cận các tài sản có giá trị hơn.","Sau khi chiếm được máy của một nhân viên, attacker sử dụng mật khẩu lấy được từ máy đó để đăng nhập vào máy chủ kế toán. Quá trình đó gọi là Lateral Movement."
"80","data exfiltration","data exfiltration","hành vi/quá trình rút trộm dữ liệu ra khỏi mạng/máy chủ mục tiêu sang bên ngoài.","8","Attacker nén toàn bộ cơ sở dữ liệu khách hàng thành một file zip được mã hóa, sau đó tải nó lên một dịch vụ lưu trữ đám mây ẩn danh để tránh bị hệ thống giám sát mạng phát hiện.","Đây là giai đoạn cuối và là mục tiêu chính của nhiều cuộc tấn công. Sau khi đã xâm nhập và tìm thấy dữ liệu giá trị, attacker phải tìm cách bí mật chuyển dữ liệu đó ra khỏi mạng của nạn nhân."
"81","Pivoting","Pivoting","kỹ thuật sử dụng máy bị chiếm làm điểm trung gian để truy cập/scan/tấn công đoạn mạng khác.","8","Attacker chiếm được web server trong vùng DMZ. Từ server này, họ dùng kỹ thuật Pivoting để scan và tấn công máy chủ cơ sở dữ liệu nằm trong mạng LAN nội bộ.","Dùng khi attacker đã chiếm được một máy tính và muốn tấn công các máy khác nằm sâu hơn trong mạng nội bộ mà không thể truy cập trực tiếp từ bên ngoài. Máy tính đã bị chiếm quyền được dùng làm "bàn đạp"."
"82","sensitive data","dữ liệu nhạy cảm","thông tin giá trị — ví dụ PII, thông tin tài chính, khóa bí mật — mục tiêu chính để exfiltrate.","8","Thông tin định danh cá nhân (PII), số thẻ tín dụng, bí mật kinh doanh, mã nguồn, hoặc các khóa mã hóa là những ví dụ điển hình về dữ liệu nhạy cảm.","Đây chính là "kho báu" mà attacker nhắm tới. Toàn bộ quá trình tấn công thường xoay quanh việc tìm kiếm và đánh cắp các loại dữ liệu này."
"83","Pass-the-hash","Pass-the-hash","kỹ thuật dùng hash mật khẩu cắp được để xác thực ở các dịch vụ/má khác mà không cần cleartext password.","8","Attacker dùng Mimikatz để lấy NTLM hash từ một máy tính. Sau đó, họ dùng hash này với công cụ PsExec để thực thi lệnh trên một server khác với quyền của người dùng đó.","Là một kỹ thuật di chuyển ngang phổ biến trong môi trường Windows. Attacker không cần biết mật khẩu gốc, chỉ cần đánh cắp được bản hash của mật khẩu để dùng nó xác thực với các máy chủ khác."
"84","network segmentation","network segmentation","phân đoạn mạng — biện pháp phòng thủ tách mạng thành các vùng để giới hạn di chuyển ngang.","8","Công ty đặt máy chủ web vào một phân đoạn mạng (DMZ), máy tính nhân viên vào phân đoạn khác. Tường lửa được cấu hình để chặn kết nối trực tiếp từ DMZ vào mạng nhân viên.","Là một biện pháp phòng thủ cốt lõi để ngăn chặn hoặc làm chậm quá trình di chuyển ngang của attacker. Mạng được chia thành nhiều vùng nhỏ và có các quy tắc tường lửa kiểm soát giao tiếp giữa các vùng."
"85","RDP (Remote Desktop Protocol)","RDP (Remote Desktop Protocol)","giao thức/ứng dụng cho điều khiển từ xa Windows — thường là mục tiêu cho truy cập từ xa hoặc khai thác.","8","Attacker quét và tìm thấy một server có cổng 3389 (RDP) đang mở. Chúng tiến hành dò mật khẩu quản trị viên cho đến khi thành công và chiếm được toàn quyền điều khiển server.","Là giao thức quản trị từ xa phổ biến nhất cho Windows. Nếu bị lộ ra Internet, nó trở thành mục tiêu hàng đầu cho các cuộc tấn công brute-force mật khẩu."
"86","Apple Remote Desktop","Apple Remote Desktop","công cụ/ứng dụng điều khiển từ xa cho macOS — tương tự RDP trên Windows.","8","Trong mạng văn phòng, attacker chiếm được một máy Mac và dùng nó để quét tìm các máy khác đang bật dịch vụ Apple Remote Desktop nhằm chiếm quyền điều khiển.","Là công cụ điều khiển từ xa chính thức cho macOS. Trong môi trường sử dụng nhiều máy Mac, nó trở thành mục tiêu tương tự như RDP để di chuyển ngang."
"87","VNC","VNC","Virtual Network Computing — giao thức/ứng dụng điều khiển desktop từ xa, có thể bị lợi dụng để remote access.","8","Pentester phát hiện một máy chủ có cổng 5900 (VNC) đang mở và không yêu cầu mật khẩu. Họ dùng VNC client kết nối thẳng vào và thấy toàn bộ màn hình desktop của máy chủ đó.","Là giao thức điều khiển từ xa đa nền tảng. Thường bị attacker lợi dụng khi các hệ thống VNC được cấu hình với mật khẩu yếu hoặc không có mật khẩu."
"88","X server forwarding","X server forwarding","chuyển tiếp X11 — cho phép chạy ứng dụng GUI trên remote host nhưng hiển thị local; có thể lộ kênh/được lợi dụng trong pentest.","8","Attacker lừa quản trị viên SSH vào một server độc hại có bật X11 forwarding. Khi quản trị viên mở một ứng dụng đồ họa, attacker có thể ghi lại các thông tin được nhập vào.","Dùng trong môi trường Linux/Unix để chạy ứng dụng đồ họa từ xa. Attacker có thể lợi dụng kênh này để chụp màn hình hoặc bắt các thao tác bàn phím (keylogging) nếu kiểm soát được kết nối."
"89","Sysinternals","Sysinternals","bộ công cụ của Microsoft cho quản trị/forensics/pentest trên Windows — ví dụ PsExec, Procmon, Autoruns.","8","Attacker dùng PsExec (một công cụ của Sysinternals) để chạy lệnh trên các máy tính khác trong mạng, hoặc dùng Autoruns để kiểm tra và cài đặt backdoor khởi động cùng hệ thống.","Là bộ công cụ quản trị mạnh mẽ của Microsoft nhưng thường bị attacker lạm dụng để "sống trên đất địch" (LotL) cho các hoạt động hậu khai thác."
"90","living-off-the-land","living-off-the-land","kỹ thuật lợi dụng các công cụ/hàm sẵn có trên hệ thống để tấn công, tránh dùng mã độc tách biệt.","8","Thay vì cài một backdoor, attacker dùng Task Scheduler có sẵn của Windows để lên lịch chạy một đoạn script PowerShell độc hại mỗi ngày.","Là một triết lý tấn công tàng hình. Attacker ưu tiên sử dụng các công cụ và chức năng có sẵn trên hệ điều hành (như PowerShell, WMI, Task Scheduler) thay vì tải lên các file mã độc riêng, nhằm tránh bị phát hiện."
"91","fileless malware","fileless malware","mã độc "không dựa trên file" — hoạt động trong bộ nhớ hoặc dùng công cụ hợp lệ của hệ thống để né phát hiện.","8","Attacker sử dụng một macro độc hại để chạy script PowerShell, thực thi mã độc trực tiếp trong bộ nhớ. Đây là một ví dụ điển hình của Fileless Malware.","Là kỹ thuật tấn công tàng hình, trong đó mã độc hoạt động trực tiếp trong bộ nhớ (RAM) hoặc lợi dụng các công cụ có sẵn của hệ thống để né tránh các phần mềm diệt virus."
"92","BloodHound","BloodHound","công cụ phân tích Active Directory để tìm đường đi tấn công/attack paths trong domain.","8","Pentester chạy bộ thu thập của BloodHound trên một máy trạm, sau đó phân tích dữ liệu để tìm ra một chuỗi các bước leo thang đặc quyền lên quản trị viên cao nhất.","Dùng để trinh sát và tìm đường tấn công trong môi trường Active Directory (AD). Nó giúp trực quan hóa các mối quan hệ để tìm con đường ngắn nhất chiếm quyền Domain Admin."
"93","Windows Remote Management (WinRM)","Windows Remote Management (WinRM)","cơ chế/Windows service cho quản trị từ xa dựa trên WS-Management — có thể bị lợi dụng cho remote execution.","8","Sau khi có được mật khẩu của admin, attacker dùng WinRM thông qua PowerShell để kết nối tới một server khác trong mạng và chạy lệnh trên đó.","Là một dịch vụ quản trị từ xa hợp pháp của Windows. Attacker có thể lạm dụng WinRM để thực thi lệnh từ xa và thực hiện Lateral Movement nếu họ đã đánh cắp được thông tin đăng nhập hợp lệ."
"94","Windows Management Instrumentation (WMI)","Windows Management Instrumentation (WMI)","framework quản trị trên Windows — thường bị dùng làm kênh thực thi từ xa / persistence.","8","Attacker dùng WMI để thiết lập một "event subscription", tự động kích hoạt một script độc hại mỗi khi có người dùng đăng nhập vào hệ thống.","Là một framework quản trị cực mạnh có sẵn trên Windows. Attacker lạm dụng WMI để thực thi lệnh, tạo persistence và thực hiện Lateral Movement vì các hành động này trông giống như tác vụ quản trị thông thường."
"95","PowerShell commands (see table in 8.2.3)","các lệnh PowerShell","các lệnh/kịch bản PowerShell — thường được dùng trong post-exploit, lateral movement, hoặc fileless attack.","8","Attacker chạy lệnh Invoke-Mimikatz bằng PowerShell để trích xuất toàn bộ mật khẩu và hash đang được lưu trong bộ nhớ của máy tính.","Là công cụ chính cho các hoạt động hậu khai thác trên môi trường Windows hiện đại. Các lệnh PowerShell được dùng cho mọi thứ, từ thu thập thông tin, đánh cắp mật khẩu đến Lateral Movement."
"96","sudo command","lệnh sudo","lệnh nâng quyền trên Unix/Linux — dùng để thực thi lệnh với quyền user khác hoặc root.","8","Attacker phát hiện user hiện tại có thể chạy lệnh find với quyền root. Họ liền dùng sudo find . -exec /bin/sh \; để mở ra một shell với quyền root.","Là lệnh cơ bản nhất để thực hiện Vertical Privilege Escalation trên Linux/Unix. Attacker sau khi có quyền user thường sẽ tìm các lỗi cấu hình sudoers để có thể chạy lệnh với quyền root."
"97","Empire","Empire","post-exploitation framework/agent dựa trên PowerShell và Python để điều khiển, chạy lệnh và C2.","8","Attacker dùng Empire để tạo ra một file macro độc hại. Khi nạn nhân kích hoạt macro, một agent sẽ kết nối về server C2 của Empire, cho phép attacker toàn quyền điều khiển.","Là một framework hậu khai thác mạnh mẽ, tập trung vào việc sử dụng các agent bằng PowerShell và Python. Nó cung cấp một hệ thống C2 hoàn chỉnh để quản lý các máy đã bị chiếm quyền."
"98","Mimikatz","Mimikatz","công cụ trích xuất credential trên Windows — lấy mật khẩu, hash, ticket Kerberos…","8","Sau khi có quyền admin, attacker chạy Mimikatz với lệnh sekurlsa::logonpasswords để lấy toàn bộ mật khẩu dưới dạng chữ rõ (plaintext) từ bộ nhớ.","Là công cụ "huyền thoại" để đánh cắp thông tin xác thực (credentials) trên Windows. Đây là thứ đầu tiên attacker sẽ chạy sau khi có được quyền admin trên một máy tính."
"99","Nyeta","Nyeta","giữ nguyên tên — lưu ý: có thể bạn muốn nói "Nyetya / NotPetya" (ransomware/wiper nổi tiếng) — nếu đúng thì sửa lại.","8","NotPetya lây lan và phá hủy dữ liệu của hàng loạt công ty vào năm 2017 bằng cách mã hóa Master Boot Record (MBR) của ổ cứng, khiến máy tính không thể khởi động được nữa.","Đây là một loại mã độc hủy diệt (wiper), giả dạng làm mã độc tống tiền (ransomware) nhưng mục tiêu chính là phá hủy dữ liệu và làm tê liệt hệ thống vĩnh viễn."
"100","PsExec","PsExec","tiện ích của Sysinternals cho remote command execution trên Windows — hay dùng để lateral movement.","8","Sau khi có được hash mật khẩu của admin, attacker dùng PsExec kết hợp với kỹ thuật Pass-the-Hash để mở một cửa sổ lệnh từ xa trên máy chủ Domain Controller.","Là một công cụ hợp pháp của Microsoft nhưng lại được attacker sử dụng cực kỳ phổ biến để thực hiện Lateral Movement trong mạng Windows."
"101","vertical privilege escalation","vertical privilege escalation","leo thang đặc quyền theo cấp — từ user lên admin/root.","8","Attacker khai thác một lỗ hổng trong kernel của hệ điều hành để thực thi mã với quyền hạn cao nhất. Quá trình này được gọi là Vertical Privilege Escalation.","Là quá trình attacker nâng quyền từ một tài khoản có đặc quyền thấp (user) lên một tài khoản có đặc quyền cao hơn (Administrator/root) trên cùng một máy."
"102","horizontal privilege escalation","horizontal privilege escalation","mở rộng quyền ngang — truy cập account/má khác cùng mức để đạt mục tiêu.","8","Attacker chiếm được tài khoản email của một nhân viên, sau đó dùng tài khoản này để gửi email lừa đảo tới một nhân viên khác trong phòng kế toán. Đây là một ví dụ của Horizontal Privilege Escalation.","Là quá trình attacker đã có quyền truy cập vào một tài khoản và dùng nó để chiếm quyền của một tài khoản khác có cùng cấp độ đặc quyền, nhằm truy cập vào các dữ liệu hoặc hệ thống khác."
"103","media sanitization","media sanitization","quá trình xóa/khử dữ liệu trên thiết bị lưu trữ để không thể phục hồi — ví dụ: wipe, degauss, physical destruction.","8","Trước khi bán các máy chủ cũ, công ty dùng phần mềm chuyên dụng để ghi đè nhiều lần lên toàn bộ ổ cứng. Đây là một phương pháp Media Sanitation.","Là quy trình mang tính phòng thủ, đảm bảo dữ liệu trên các thiết bị lưu trữ cũ (ổ cứng, USB) bị xóa vĩnh viễn và không thể phục hồi trước khi thải loại thiết bị."
"104","Steganography","Steganography","kỹ thuật giấu dữ liệu bên trong file ảnh/audio/text để che giấu truyền tin.","8","Attacker dùng Steganography để giấu một file chứa mật khẩu vào bên trong một file ảnh PNG, sau đó gửi file ảnh này qua email để qua mặt các hệ thống phòng chống mất mát dữ liệu (DLP).","Attacker dùng Steganography để giấu một file chứa mật khẩu vào bên trong một file ảnh PNG, sau đó gửi file ảnh này qua email để qua mặt các hệ thống phòng chống mất mát dữ liệu (DLP)."
"105","steghide","steghide","công cụ steganography dùng để nhúng/đóng gói file vào ảnh hoặc audio — lệnh steghide để nhúng/giải nén dữ liệu.","8","Attacker dùng lệnh steghide embed -cf kitten.jpg -ef passwords.txt để nhúng file passwords.txt vào trong file ảnh kitten.jpg.","Attacker dùng lệnh steghide embed -cf kitten.jpg -ef passwords.txt để nhúng file passwords.txt vào trong file ảnh kitten.jpg."
"106","C-suite"," ban lãnh đạo cấp cao / đội ngũ điều hành cấp cao","tập hợp các vị trí điều hành cao nhất trong công ty, ví dụ CEO, CFO, COO, CIO, CSO — những người ra quyết định chiến lược và chịu trách nhiệm toàn công ty.","9","Là nhóm đối tượng chịu trách nhiệm về chiến lược, ngân sách và chấp nhận rủi ro an ninh mạng của toàn bộ tổ chức.","Giám đốc an ninh (CSO) trình bày kế hoạch ngân sách bảo mật cho năm tới trước hội đồng C-suite để được phê duyệt."
"107","technical control","biện pháp kiểm soát kỹ thuật","ví dụ: firewall, IDS/IPS, mã hóa","9","Là các biện pháp bảo mật được thực thi bởi hệ thống công nghệ để bảo vệ tài sản thông tin.","Công ty triển khai tường lửa (firewall) và hệ thống phát hiện xâm nhập (IDS). Đây là các Technical Control."
"108","key rotation","luân phiên/thay đổi khóa mật mã định kỳ","","9","Là quy trình định kỳ thay đổi các khóa mã hóa để giới hạn thiệt hại trong trường hợp một khóa bị lộ.","Chính sách của công ty yêu cầu thực hiện Key Rotation cho khóa mã hóa cơ sở dữ liệu mỗi 90 ngày."
"109","administrative control","biện pháp kiểm soát hành chính","chính sách, quy định, quy trình","9","Là các chính sách, quy trình, và quy định do con người ban hành để quản lý và định hướng hoạt động an ninh.","Công ty ban hành "Chính sách mật khẩu mạnh", yêu cầu nhân viên đổi mật khẩu mỗi 90 ngày. Đây là một Administrative Control."
"110","role-based access control (RBAC)","kiểm soát truy cập dựa trên vai trò (RBAC)","","9","Là một mô hình cấp quyền truy cập, trong đó quyền của người dùng được gán dựa trên vai trò của họ trong tổ chức, tuân thủ nguyên tắc đặc quyền tối thiểu.","Theo mô hình RBAC, nhân viên phòng kế toán chỉ có quyền truy cập vào các thư mục tài chính, không thể xem các thư mục của phòng nhân sự."
"111","secure software development life cycle (SSDLC)","vòng đời phát triển phần mềm an toàn (SSDLC)","","9","Là quy trình tích hợp các hoạt động và yêu cầu bảo mật vào mọi giai đoạn của quá trình phát triển phần mềm, từ thiết kế đến triển khai.","Theo SSDLC, đội ngũ phát triển phải thực hiện phân tích mã tĩnh (SAST) và đánh giá các thư viện mã nguồn mở trước khi phát hành phiên bản mới."
"112","operational control","biện pháp kiểm soát vận hành","giám sát, backup, quản lý sự cố","9","Là các quy trình được con người thực hiện hàng ngày để duy trì an ninh, thường liên quan đến việc giám sát và ứng phó.","Đội ngũ SOC thực hiện việc giám sát log hệ thống hàng ngày và quy trình sao lưu dữ liệu hàng tuần là các Operational Control."
"113","job rotation","luân chuyển công việc","giảm gian lận, tăng minh bạch, đa kỹ năng","9","Là một biện pháp kiểm soát hành chính nhằm phát hiện và ngăn chặn gian lận bằng cách định kỳ luân chuyển nhân sự qua các vị trí nhạy cảm.","Một nhân viên quản lý kho được yêu cầu thực hiện Job Rotation sang vị trí khác trong 1 tháng để người thay thế có thể kiểm tra và phát hiện các sai phạm tiềm ẩn."
"114","time-of-day restriction","hạn chế truy cập theo khung giờ định sẵn","","9","Là một biện pháp kiểm soát kỹ thuật nhằm giới hạn quyền truy cập của người dùng vào hệ thống chỉ trong những khung giờ làm việc nhất định.","Hệ thống được cấu hình Time-of-day Restriction để chặn tất cả các lượt đăng nhập VPN từ bên ngoài trong khoảng thời gian từ 10 giờ tối đến 6 giờ sáng."
"115","physical control","biện pháp kiểm soát vật lý","khóa, camera, thẻ từ, bảo vệ","9","Là các biện pháp bảo vệ cơ sở hạ tầng vật chất như tòa nhà, phòng máy chủ và các thiết bị khỏi sự truy cập trái phép.","Phòng máy chủ được bảo vệ bởi cửa khóa thẻ từ, camera giám sát và bảo vệ. Đây đều là các Physical Control."
"116","access control vestibule","phòng kiểm soát truy cập","mantrap, airlock","9","Là một biện pháp kiểm soát vật lý gồm hai cửa nối tiếp nhau. Một người phải đi qua cửa thứ nhất, đợi nó đóng lại hoàn toàn rồi mới có thể mở cửa thứ hai, nhằm chống lại việc đi theo (tailgating).","Để vào trung tâm dữ liệu, nhân viên phải đi qua một Access control vestibule (còn gọi là Mantrap)."
"117","chief executive officer (CEO)","giám đốc điều hành (CEO)","","9","Là người có vị trí cao nhất trong C-suite, chịu trách nhiệm cuối cùng về mọi hoạt động và chiến lược của công ty, bao gồm cả rủi ro an ninh mạng.","CEO phê duyệt ngân sách an ninh mạng hàng năm và chịu trách nhiệm trước hội đồng quản trị về các sự cố lớn."
